FilePath,SegmentPath,Class,Duration,Origin,Subset
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry16.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry16_0.0_3.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry16.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry16_3.0_6.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry16.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry16_6.0_9.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry16.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry16_9.0_12.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry16.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry16_12.0_15.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry16.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry16_15.0_18.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry26.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry26_0.0_3.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry26.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry26_3.0_6.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry26.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry26_6.0_9.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry26.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry26_9.0_12.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
../../Dataset/Audios/Neus/Anthropogenic/Registros_Tráfico marítimo/Ferries y Fast ferries 2000/ferry26.wav,../../Dataset/Audios/Neus/Segmented/Ferry_FastFerry/ferry26_12.0_15.0.wav,Ferry_FastFerry,3.0,Neus Background Fast Ferries,train
